chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	135	20	0.0003651427	0.000000024565
1	1892607	3582735	745	28	0.0002298852	0.000000064883
1	3582736	4380810	536	28	0.0002213328	0.000000047732
1	4380811	5913892	1866	28	0.0000929513	0.000000057329
1	5913893	7247334	731	28	0.0000829249	0.000000051314
1	7247335	9365198	1235	28	0.0000383626	0.000000053819
1	9365199	10806983	520	28	0.0000564001	0.000000035178
1	10806984	11777840	380	28	0.0000217029	0.000000032667
1	11777841	12779465	562	28	0.0003071923	0.000000036583
1	12779466	14891510	1186	28	0.0001248513	0.000000057554
1	14891511	16897729	1081	28	0.0001756065	0.000000058325
1	16897730	18662898	1112	28	0.0000430154	0.000000054469
1	18662899	20469148	1172	28	0.0000601415	0.000000055822
1	20469149	21736587	789	28	0.0002796742	0.000000057341
1	21736588	23086882	917	28	0.0001770937	0.000000059177
1	23086883	23920589	336	28	0.0001267658	0.000000023980
1	23920590	25516844	869	28	0.0004159416	0.000000064726
1	25516845	27401866	704	28	0.0005828825	0.000000053064
1	27401867	30161880	921	28	-0.0000364744	0.000000052580
1	30161881	32438684	1841	28	0.0002564885	0.000000061586
1	32438685	34799757	1123	28	0.0000994863	0.000000056660
1	34799758	37549182	936	28	0.0001061111	0.000000056222
1	37549183	38731846	589	28	0.0001596556	0.000000043684
1	38731847	40200566	720	28	0.0002688111	0.000000055089
1	40200567	41975326	993	28	0.0001658315	0.000000058125
1	41975327	43758456	1067	28	0.0001460161	0.000000055575
1	43758457	44969182	595	28	0.0001653372	0.000000038656
1	44969183	46899500	783	28	0.0000291298	0.000000033798
1	46899501	48002575	496	28	0.0002355330	0.000000032937
1	48002576	48978187	550	28	0.0002093573	0.000000043798
1	48978188	49894176	449	28	0.0000264751	0.000000026101
1	49894177	51713725	476	28	0.0001951635	0.000000025259
1	51713726	54226261	951	28	0.0004753847	0.000000064854
1	54226262	56413116	1410	28	0.0001785644	0.000000055416
1	56413117	57021727	569	28	0.0001210189	0.000000026330
1	57021728	58865398	1511	28	0.0001648350	0.000000059074
1	58865399	59890408	752	28	0.0002174507	0.000000045164
1	59890409	61922364	1195	28	0.0001081990	0.000000055861
1	61922365	63455088	1059	28	0.0028045799	0.000000110757
1	63455089	65041703	1305	28	0.0000394401	0.000000055340
1	65041704	66939403	1315	28	0.0001382670	0.000000057180
1	66939404	68477894	1317	28	0.0003237872	0.000000063320
1	68477895	69687615	751	28	0.0000754474	0.000000043397
1	69687616	71372469	1083	28	0.0000107934	0.000000054926
1	71372470	71684404	174	13	0.0000706110	0.000000009029
1	71684405	74326906	1694	28	0.0001678010	0.000000048491
1	74326907	76728134	1654	28	0.0001415430	0.000000054960
1	76728135	79661197	1930	28	0.0002419758	0.000000058943
1	79661198	81354190	1181	28	0.0001148175	0.000000056565
1	81354191	83991747	2159	28	0.0001907457	0.000000058958
1	83991748	84844494	554	28	0.0002017479	0.000000033355
1	84844495	86454750	1252	28	0.0001134501	0.000000055953
1	86454751	88128630	1104	28	0.0001196258	0.000000057207
1	88128631	90066302	992	28	0.0001178186	0.000000055143
1	90066303	91886316	1039	28	0.0003125546	0.000000063099
1	91886317	93536458	1032	28	0.0003519557	0.000000053971
1	93536459	94506190	505	28	0.0000602305	0.000000021664
1	94506191	96150892	1094	28	0.0000388672	0.000000054077
1	96150893	97885248	1116	28	0.0001048802	0.000000051751
1	97885249	99800603	1259	28	0.0000832819	0.000000056848
1	99800604	100826404	640	28	0.0001915884	0.000000034604
1	100826405	102041015	872	28	0.0001327838	0.000000048810
1	102041016	102898744	677	28	0.0002045289	0.000000036330
1	102898745	103914210	591	28	0.0000323203	0.000000020675
1	103914211	106087841	1233	28	-0.0000110061	0.000000054250
1	106087842	108409664	1630	28	0.0000651266	0.000000055645
1	108409665	110303930	1159	28	0.0003223993	0.000000050074
1	110303931	111741736	949	28	0.0001129644	0.000000054326
1	111741737	113273305	1280	28	0.0002474981	0.000000058472
1	113273306	114873844	869	28	0.0001886156	0.000000058645
1	114873845	115880592	575	28	0.0001069605	0.000000032896
1	115880593	118839066	1582	28	0.0003038573	0.000000062106
1	118839067	144977493	1315	28	0.0002315578	0.000000045614
1	144977494	148361252	765	28	0.0003486642	0.000000051903
1	148361253	151538880	531	28	-0.0000116361	0.000000026542
1	151538881	153180828	937	28	0.0000997569	0.000000042491
1	153180829	154770402	744	28	0.0004906297	0.000000058563
1	154770403	156336132	430	28	0.0002959787	0.000000037941
1	156336133	158027411	1131	28	0.0002247911	0.000000061532
1	158027412	159913047	1284	28	0.0001101437	0.000000054287
1	159913048	162346720	1693	28	0.0000534198	0.000000042355
1	162346721	165191701	2418	28	0.0000293448	0.000000053218
1	165191702	166460516	978	28	0.0001745821	0.000000058498
1	166460517	169086323	1945	28	0.0001175069	0.000000056381
1	169086324	170557775	1438	28	0.0000537910	0.000000046899
1	170557776	173097906	1747	28	0.0003543360	0.000000057057
1	173097907	175089767	715	28	0.0002510155	0.000000034374
1	175089768	177433380	1491	28	0.0001849504	0.000000058453
1	177433381	178944308	1008	28	0.0001169394	0.000000042388
1	178944309	178954469	3	1	0.0000095949	0.000000000839
1	178954470	181144120	1436	28	0.0001093650	0.000000057376
1	181144121	182755355	1054	28	0.0002831808	0.000000060809
1	182755356	184595512	1246	28	0.0002810945	0.000000060999
