chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	164	25	0.0001603967	0.000000002343
1	1892607	3582735	823	50	0.0009777432	0.000000010215
1	3582736	4380810	564	50	0.0002508304	0.000000004093
1	4380811	5913892	1899	50	0.0000887435	0.000000003396
1	5913893	7247334	747	50	0.0002266913	0.000000004205
1	7247335	9365198	1281	50	0.0004615831	0.000000005889
1	9365199	10806983	542	50	0.0004310540	0.000000004881
1	10806984	11777840	408	50	0.0003287957	0.000000004174
1	11777841	12779465	461	50	0.0000881169	0.000000002854
1	12779466	14891510	1219	50	0.0002430117	0.000000004476
1	14891511	16897729	1138	50	0.0001577540	0.000000003894
1	16897730	18662898	1182	50	0.0006644255	0.000000007465
1	18662899	20469148	1247	50	0.0004806628	0.000000006195
1	20469149	21736587	810	50	0.0005348919	0.000000006162
1	21736588	23086882	953	50	0.0004618744	0.000000005948
1	23086883	23920589	354	33	0.0005463922	0.000000004864
1	23920590	25516844	907	50	0.0004556028	0.000000005875
1	25516845	27401866	663	50	0.0007746846	0.000000007169
1	27401867	30161880	968	50	0.0003900564	0.000000005469
1	30161881	32438684	1925	50	0.0005268696	0.000000006324
1	32438685	34799757	1181	50	0.0002944654	0.000000004776
1	34799758	37549182	992	50	0.0002568633	0.000000004660
1	37549183	38731846	615	50	0.0004690437	0.000000005317
1	38731847	40200566	758	50	0.0002112858	0.000000004196
1	40200567	41975326	1030	50	0.0007910920	0.000000008014
1	41975327	43758456	1111	50	0.0005608021	0.000000006481
1	43758457	44969182	629	45	0.0001667210	0.000000002967
1	44969183	46899500	817	46	0.0004776562	0.000000004957
1	46899501	48002575	527	40	0.0005356782	0.000000004996
1	48002576	48978187	566	50	0.0003816022	0.000000004494
1	48978188	49894176	466	37	0.0000579805	0.000000001752
1	49894177	51713725	491	30	0.0003028793	0.000000003110
1	51713726	54226261	986	50	0.0005119599	0.000000006161
1	54226262	56413116	1458	50	0.0003430418	0.000000005094
1	56413117	57021727	530	37	0.0002804077	0.000000003240
1	57021728	58865398	1569	50	0.0002268821	0.000000004308
1	58865399	59890408	778	50	0.0002388758	0.000000003647
1	59890409	61922364	1225	50	0.0002776191	0.000000004641
1	61922365	63455088	972	50	0.0002225577	0.000000004308
1	63455089	65041703	1344	50	0.0002536296	0.000000004431
1	65041704	66939403	1358	50	0.0004059066	0.000000005445
